id,dailyacres,discoveryacres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,wind_speed_2m_mean,wind_speed_2m_max_mean,wind_speed_10m_mean,wind_speed_10m_max_mean,humidity_mean,temp_2m_mean,rain_sum,dew_frost_point_2m,wet_bulb_temp_2m,relative_humidity,clear_sky_photosynthetically_active_radiation,all_sky_photosynthetically_active_radiation,all_sky_surface_uv_index,sum_rain,sum_snow,land_cover_class
432,17.0,5.0,18.48,26.64,9.09,1.42,1.66,3.17,3.19,5.9,0.39,0.41,1.6183333333333334,2.831666666666667,3.161666666666666,5.251666666666667,8.971666666666666,17.32,8.629999999999999,8.44,13.47,57.56,152.1,122.65,2.32,131.82999999999998,3.3000000000000003,149
436,349.0,200.0,32.94,42.02,9.28,0.21,1.88,6.48,2.7,9.13,0.21,0.45,2.212222222222222,4.952222222222222,3.1722222222222225,6.775555555555555,10.402222222222225,30.72222222222222,7.1,10.88,21.9,29.88,138.78,129.86,2.38,36.91,0.0,460
448,137.0,1.0,34.62,42.66,9.58,0.09,1.66,3.91,2.48,5.02,0.22,0.38,2.0,3.8625,2.7825,5.1275,11.87,32.6875,6.390000000000001,12.06,23.34,28.44,130.87,117.4,2.23,31.64,0.0,472
458,1977.0,0.1,25.45,34.49,6.53,2.36,3.12,5.69,4.7,7.91,0.36,0.39,3.1875,5.8575,4.59,8.0975,5.9975000000000005,14.3575,31.46,4.5,14.98,29.25,159.9,130.04,2.44,94.92,1.32,556
460,3.0,0.1,25.47,35.2,7.08,0.05,0.2,0.66,1.4,2.75,0.34,0.47,0.2075,0.71,1.555,3.3125,6.35,24.6775,0.06,7.06,16.26,34.31,147.55,142.03,2.46,295.30999999999995,0.66,162
461,3.0,3.0,23.91,32.99,7.26,0.0,2.51,4.12,3.88,5.87,0.51,0.54,2.3580952380952382,4.61,3.4995238095238093,6.240476190476191,5.766190476190476,22.34809523809524,1.99,7.01,15.47,37.69,150.01,123.9,2.22,42.18,0.0,460
468,30.0,30.0,27.98,36.18,6.35,0.05,1.91,3.8,2.85,5.59,0.09,0.33,2.1375,4.3125,3.105,5.859999999999999,6.305,26.630000000000003,0.05,3.65,15.82,24.88,133.52,112.98,2.1,5.27,1.32,183
469,56.0,3.0,28.0,34.69,6.71,0.0,2.3,4.18,3.89,6.39,0.23,0.42,1.9028571428571428,3.66,3.1942857142857144,5.55,6.442857142857143,28.08,2.63,5.68,16.83,24.88,160.95,161.45,3.29,42.18,0.0,358
485,2905.0,0.1,14.76,22.34,4.76,0.33,2.6,4.7,4.71,7.9,0.38,0.41,1.7777272727272726,3.3027272727272727,3.202272727272728,5.437045454545454,5.978863636363636,17.42659090909091,60.78,-2.26,6.25,39.31,168.24,168.64,3.23,163.47,5.28,316
486,1100.33,0.1,24.12,30.83,8.48,0.12,1.72,2.97,2.36,4.42,0.14,0.33,1.6949999999999998,2.95,2.315,3.965,7.475,24.6,0.1699999999999999,8.69,16.4,41.56,144.11,134.92,2.27,36.91,0.66,489
495,899.0,50.0,30.55,39.44,3.78,0.0,2.43,5.06,3.65,6.66,0.23,0.43,2.325,4.665,3.3775,6.0825,3.6275,31.1125,0.0,-1.51,14.52,14.12,160.91,160.36,2.75,31.64,0.0,474
505,9.5,8.0,33.55,43.3,3.78,0.0,2.55,5.0,3.63,6.43,0.13,0.38,2.5073333333333334,4.506,3.534333333333333,5.893,3.945,32.14,0.14,-0.45,16.55,12.69,156.34,155.0,2.41,26.37,0.0,556
510,8930.0,0.1,27.23,36.01,10.68,0.93,1.17,2.49,2.27,4.91,0.38,0.48,1.1858490566037736,2.1339622641509437,2.5160377358490567,4.151886792452831,5.625471698113207,22.26981132075472,18.43,11.98,19.6,43.31,131.72,121.43,2.23,58.0,0.0,460
519,4452.0,0.1,25.73,35.22,9.28,0.43,0.37,0.81,1.72,2.95,0.41,0.48,0.3826086956521739,0.7578260869565218,1.9230434782608692,3.077391304347826,7.238695652173914,20.94652173913044,17.61,9.39,17.56,41.56,132.7,99.54,1.9,58.0,0.66,158
521,88.0,5.0,7.55,20.31,1.16,0.0,1.81,2.77,3.23,3.92,0.26,0.47,2.75,4.782857142857142,4.365714285714286,6.815714285714285,1.7428571428571429,9.714285714285714,1.79,-15.64,-4.05,17.75,70.06,64.37,0.54,369.5100000000001,0.05,460
522,21.8,0.1,20.35,27.03,6.84,0.02,3.66,5.89,5.48,8.07,0.43,0.52,2.995,5.47,4.515,7.553333333333334,4.27,20.798333333333336,0.02,6.05,13.19,41.81,165.55,166.33,3.19,31.64,0.0,47
527,6.07,2.0,20.08,30.33,3.48,0.0,3.75,6.84,5.46,9.27,0.27,0.35,3.5925,6.505,5.2125,8.7675,3.005,17.2075,0.01,-3.92,8.08,23.69,162.99,163.28,2.91,68.55,0.0,186
528,1.8,1.0,37.12,44.5,5.55,0.0,2.11,3.56,2.99,5.34,0.05,0.34,2.469629629629629,4.118518518518519,3.482222222222222,5.675925925925926,7.876666666666666,37.52074074074074,0.18,5.04,21.08,14.56,146.54,143.27,2.63,0.0,0.0,477
